Italian,Spanish
non,No
di,De
che,Eso
è,Y
e,Y
la,allá
il,El
un,a
a,a
per,Para
in,en
una,a
mi,a mí
sono,Soy
ho,Tengo
ma,pero
l',L '
lo,el
ha,tiene
le,el
si,Sí
ti,tú
i,el
con,con
cosa,Qué
se,ser
io,I
come,como
da,de
ci,Allá
no,No
questo,Este
qui,aquí
e',Y'
hai,tienes
sei,seis
del,del
bene,Bien
tu,tú
sì,Sí
me,mí mismo
più,más
al,hacia
mio,mi
c',allá
perché,Por qué
lei,ella
solo,Solo
te,tú
era,era
gli,El
tutto,Todo
della,desde el
così,Como esto
mia,mi
ne,ni
questa,este
fare,Hacer
quando,cuando
ora,Ahora
fatto,Hecho
essere,ser
so,Sé
mai,nunca
chi,OMS
o,o
alla,en el
tutti,todos
molto,Muy
dei,del
anche,También
detto,dicho
quello,eso
va,va
niente,Nada
grazie,Gracias
lui,él
voglio,Quiero
abbiamo,tenemos
stato,estado
nel,En el
suo,su
dove,Dónde
posso,Puedo
oh,Oh
prima,Antes
allora,En ese tiempo
siamo,somos
d',d '
uno,uno
un',a
sua,su
tuo,su
hanno,ellos tienen
noi,nosotros
sta,es
fa,hace
due,dos
vuoi,quieres
ancora,Aún